Problem; InitialSolverValues; InitialSolverVehicleNumber; BestKnownValue; BestKnownVehicleNumber 
C101;828,937;10;828,940;10;-3.7795946220431313E-6;0.0
C102;830,165;10;828,940;10;0.0014774343939356579;0.0
C103;828,065;10;828,940;10;-0.001055707049866323;0.0
C104;825,105;10;824,780;10;3.9452717162962575E-4;0.0
C105;828,937;10;828,940;10;-3.7795946221802786E-6;0.0
C106;830,915;10;828,940;10;0.002382257820938887;0.0
C107;829,379;10;828,940;10;5.297464664323556E-4;0.0
C108;829,698;10;828,940;10;9.142861056526357E-4;0.0
C109;828,937;10;828,940;10;-3.7795946220431313E-6;0.0
C201;772,586;7;591,560;3;0.3060140671193861;1.0
C202;815,456;4;591,560;3;0.37848474589462194;0.0
C203;1081,513;4;591,170;3;0.829445230634187;0.0
C204;1249,600;3;590,600;3;1.1158137434700401;0.0
C205;747,969;4;588,290;3;0.2714291548230875;0.0
C206;804,859;4;588,490;3;0.3676677896511001;0.0
C207;933,844;9;588,290;3;0.5873868487755384;2.0
C208;832,312;4;588,320;3;0.414726029080579;0.0
R101;1689,509;21;1650,800;19;0.02344860114998753;0.0
R102;1477,656;18;1486,120;17;-0.005695591337679865;0.0
R103;1224,128;15;1292,680;13;-0.053030942986693086;0.0
R104;1129,296;10;1007,310;9;0.12110037516187878;0.0
R105;1405,161;16;1377,110;14;0.020369476137520603;0.0
R106;1291,094;13;1252,030;12;0.03120019994260261;0.0
R107;1151,172;11;1104,660;10;0.042105120693092545;0.0
R108;969,144;10;960,880;9;0.008600262373487023;0.0
R109;1211,063;13;1194,730;11;0.013670578866309296;0.0
R110;1188,905;13;1118,840;10;0.06262259179627491;0.0
R111;1096,885;12;1096,720;10;1.5071081186716564E-4;0.0
R112;1086,218;10;982,140;9;0.10597065053038054;0.0
R201;1220,042;5;1252,370;4;-0.025813537341800568;0.0
R202;1164,041;4;1191,700;3;-0.02320999366223135;0.0
R203;947,517;4;939,500;3;0.00853301854659825;0.0
R204;785,804;3;825,520;2;-0.048109690272129434;0.0
R205;1035,402;4;994,420;3;0.04121160671171714;0.0
R206;947,796;4;906,140;3;0.04597100856851357;0.0
R207;976,768;3;890,610;2;0.09674082161837093;0.0
R208;758,011;3;726,820;2;0.042914115964160345;0.0
R209;952,597;4;909,160;3;0.047776560145258565;0.0
R210;998,235;4;939,370;3;0.06266416663377743;0.0
R211;1291,230;3;885,710;2;0.4578468726983018;0.0
RC101;1708,760;17;1696,940;14;0.006965472808822301;0.0
RC102;1540,871;15;1554,750;12;-0.008926955011653383;0.0
RC103;1346,258;13;1261,670;11;0.0670448674298918;0.0
RC104;1269,793;11;1135,480;10;0.1182873132793725;0.0
RC105;1606,782;17;1629,440;13;-0.013905639896550772;0.0
RC106;1411,190;13;1424,730;11;-0.00950371191341048;0.0
RC107;1355,832;13;1230,480;11;0.10187248524709479;0.0
RC108;1186,229;11;1139,820;10;0.04071613835363521;0.0
RC201;1435,557;5;1406,940;4;0.02034015488637443;0.0
RC202;1326,728;4;1365,650;3;-0.028500810825257628;0.0
RC203;989,257;4;1049,620;3;-0.057509222433478425;0.0
RC204;896,013;3;798,460;3;0.1221758485486939;0.0
RC205;1298,739;5;1297,650;4;8.393125212293851E-4;0.0
RC206;1112,507;4;1146,320;3;-0.029497144571930253;0.0
RC207;1128,341;4;1061,140;3;0.06332935922522273;0.0
RC208;964,073;3;828,140;3;0.16414228530307143;0.0
;;;;;5.91050555127409;3.0
